"JP04","157794/1","201106/1","110958/1","150306/1","174060/1","55813/1","122369/1","201552/1","183795/1","180813/1","119209/1","119582/1","147788/1","168691/1","108884/1","182684/1","172234/1","141551/1","192067/1","124018/1","124560/1","125602/1","147948/1","149931/1","168973/1","116321/1","198255/1","57132/1","127744/1","155594/1","16976/1","139431/1","120633/1","198436/1","115582/1","38640/1","64940/1","149071/1","163397/1","95776/1","56297/1","61092/1","118297/1","45508/1","77219/1","190138/1","186379/1","56145/1","134688/1","100152/1","83578/1","186653/1","168865/1","121503/1","51083/1","64695/1","48550/1","49893/1","104869/1","196290/1","181574/1","106777/1","72031/1","202651/1","55235/1","43350/1","162926/1","114404/1","134700/1","149803/1","34383/1","157927/1","98090/1","187520/1","206168/1","191287/1","184864/1","168282/1","147587/1","158676/1","161605/1","147782/1","160757/1","159004/1","60905/1","204358/1","149002/1","68682/1","32926/1","190241/1","75671/1","121072/1","132014/1","205644/1","166075/1","150385/1","118527/1","56693/1","42718/1","185522/1","138918/1","119033/1","49248/1","49112/1","167402/1","162468/1","63311/1","41066/1","192132/1","177243/1","190038/1","180705/1","144736/1","34025/1","186879/1","135005/1","107731/1","48722/1","33811/1","34276/1","137904/1","94692/1","53378/1","101202/1","56960/1","18017/1","35482/1","200282/1","63017/1","189476/1","166589/1","80946/1","135085/1","108661/1","137407/1","167450/1","52708/1","148438/1","59031/1","129229/1","125415/1","103726/1","89819/1","58608/1","117149/1","106994/1","41421/1","197296/1","11068/1","27742/1","75008/1","110252/1","1561/1","65093/1","205276/1","extracted_numbers"
100,99.056,98.896,98.696,98.575,98.536,98.536,98.219,98.097,98.077,97.994,97.913,97.879,97.368,97.512,97.419,97.378,97.321,97.275,97.179,96.961,96.405,95.792,95.681,98.195,94.871,93.217,98.606,97.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100,99.523,99.043,86.842,98.726,98.578,99.203,99.051,96.677,98.248,99.206,99.048,99.049,99.206,97.937,98.885,97.93,97.143,98.101,99.046,97.788,99.362,98.254,97.792,NA,95.866,NA,98.726,98.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
100,97.143,99.054,99.684,98.73,98.418,99.048,99.051,98.734,99.365,97.792,97.785,97.492,98.418,98.73,98.418,99.683,96.825,98.738,99.365,95.886,99.054,94.304,98.734,NA,93.21,NA,100,99.683,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
100,96.994,99.768,99.42,98.262,97.917,97.561,98.608,98.38,99.074,98.73,98.264,98.616,98.264,98.15,95.481,97.123,95.848,96.875,98.262,96.445,99.652,97.798,98.497,NA,94.097,NA,98.724,97.586,97.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
100,100,99.31,96.886,96.897,95.876,99.293,95.088,98.276,98.288,93.471,97.569,99.306,99.654,99.653,97.222,95.139,96.897,96.599,99.654,97.578,100,100,97.917,NA,86.296,NA,99.653,97.203,98.94,97.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
100,98.649,98.98,99.66,96.575,96.644,100,97.279,97.288,98.639,97.635,99.638,98.98,99.661,98.639,99.661,97.959,97.635,95.638,99.32,99.32,97.279,98.98,95.932,NA,96.97,NA,99.313,97.279,97.306,98.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
100,98.495,98.621,97.77,98.04,98.52,98.32,98.391,97.478,99.003,98.093,97.883,98.776,98.104,98.218,97.705,97.517,96.211,97.755,98.364,96.726,98.779,97.753,98.138,NA,94.972,NA,98.927,97.2,98.318,98.571,85.433,97.94,98.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
100,99.337,100,NA,99.337,98.347,97.686,97.694,99.338,99.01,98.188,94.855,98.814,98.673,98.185,99.01,99.669,NA,97.851,98.839,97.512,NA,99.504,100,NA,NA,NA,99.668,98.66,98.512,99.834,83.967,98.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
100,98.38,98.958,NA,98.958,98.266,99.768,97.699,98.49,99.652,98.727,97.68,97.926,97.232,98.958,98.845,96.994,NA,98.262,98.039,98.387,NA,97.929,NA,NA,NA,NA,98.613,98.38,95.732,98.611,87.157,98.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
100,98.999,99.282,NA,97.421,98.709,98.996,96.449,98.854,98.714,98.567,98.709,92.766,99.569,98.567,99.427,98.567,NA,97.711,97.561,97.004,NA,98.42,NA,NA,NA,NA,99.282,97.575,98.281,99.425,86.508,97.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
