"AccessionNumber","Length","CreateDate","Source","Category","Family"
"PP539711","147048","20-APR-2024","Faxonius rusticus nudivirus",NA,"Nudiviridae"
"PP539710","144948","20-APR-2024","Faxonius virilis nudivirus",NA,"Nudiviridae"
"PP539709","130164","20-APR-2024","Faxonius propinquus nudivirus",NA,"Nudiviridae"
"OQ725696","99336","13-NOV-2023","Menippe mercenaria nudivirus",NA,"Nudiviridae"
"OR596894","129467","28-OCT-2023","Apis mellifera nudivirus",NA,"Nudiviridae"
"BK063656","126408","24-AUG-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"OP831191","123988","19-FEB-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"OP831187","124855","19-FEB-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"OP831186","125840","19-FEB-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"OP831189","125830","19-FEB-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"OP831190","125660","19-FEB-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"OP831188","125879","19-FEB-2023","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"NC_076946","113840","04-MAY-2023","Carcinus maenas nudivirus",NA,"Nudiviridae"
"NC_076945","132068","04-MAY-2023","Crangon crangon nudivirus",NA,"Nudiviridae"
"NC_076232","154465","04-MAY-2023","Mauternbach virus",NA,"Nudiviridae"
"NC_074969","228089","04-MAY-2023","Heliothis zea nudivirus",NA,"Nudiviridae"
"ON063013","231768","18-FEB-2023","Heliothis virescens nudivirus (HvNV)",NA,"Nudiviridae"
"ON931348","124925","20-DEC-2022","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"ON931347","125794","20-DEC-2022","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"MT833891","189841","26-OCT-2022","Phenacoccus solenopsis nudivirus",NA,"Nudiviridae"
"ON638996","122436","06-SEP-2022","Callinectes sapidus nudivirus",NA,"Nudiviridae"
"ON061174","108983","17-APR-2022","Aratus pisonii nudivirus",NA,"Nudiviridae"
"MW484891","108126","22-DEC-2021","Macrobrachium rosenbergii nudivirus",NA,"Nudiviridae"
"MZ311578","113840","11-OCT-2021","Carcinus maenas nudivirus",NA,"Nudiviridae"
"MZ311577","132068","11-OCT-2021","Crangon crangon nudivirus",NA,"Nudiviridae"
"MW298154","126039","04-OCT-2021","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"MW298153","125905","04-OCT-2021","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"MZ727584","124926","02-OCT-2021","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"NC_033829","152388","27-FEB-2017","Kallithea virus",NA,"Nudiviridae"
"MG969167","154465","09-NOV-2018","Mauternbach virus",NA,"Nudiviridae"
"KY608910","183261","23-JAN-2018","Esparto virus",NA,"Nudiviridae"
"KY457233","112307","06-DEC-2017","Tomelloso virus",NA,"Nudiviridae"
"KX130344","152388","18-FEB-2017","Kallithea virus",NA,"Nudiviridae"
"NC_055571","107063","01-JUN-2021","Homarus gammarus nudivirus",NA,"Nudiviridae"
"MT488302","119695","22-JUL-2020","Dikerogammarus haemobaphes nudivirus",NA,"Nudiviridae"
"MT150137","125846","03-JUN-2020","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"MN623374","125917","19-JAN-2020","Oryctes rhinoceros nudivirus",NA,"Nudiviridae"
"NC_040789","112307","12-FEB-2019","Tomelloso virus",NA,"Nudiviridae"
"NC_040699","155555","12-FEB-2019","Drosophila innubila nudivirus",NA,"Nudiviridae"
"NC_040536","183261","12-FEB-2019","Esparto virus",NA,"Nudiviridae"
"MK439999","107063","16-FEB-2019","Homarus gammarus nudivirus",NA,"Nudiviridae"
