"OrNV-Ma07","41048/1","34828/1","29069/1","29099/1","38635/1","43280/1","3335/1","32540/1","43139/1","39448/1","35241/1","18077/1","31426/1","20610/1","19190/1","43266/1","5723/1","40009/1","32538/1","19256/1","3332/1","30211/1","29070/1","34829/1","41031/1","41059/1","35214/1","29059/1","41069/1","30194/1","44796/1","32554/1","5703/1","44743/1","41041/1","34830/1","30217/1","37980/1","29058/1","43267/1","4533/1","18076/1","38659/1","5702/1","41062/1","31427/1","41030/1","29093/1","43192/1","41047/1","43279/1","41071/1","37895/1","25404/1","32107/1","29080/1","44780/1","19228/1","13415/1","39509/1","38665/1","16947/1","20620/1","41929/1","30193/1","32134/1","37902/1","25461/1","43292/1","29081/1","7901/1","19220/1","43270/1","44783/1","4544/1","32539/1","30199/1","29056/1","20648/1","29094/1","30212/1","7899/1","4536/1","4543/1","44751/1","5701/1","8523/1","30219/1","37998/1","41072/1","20627/1","30201/1","44773/1","38646/1","32068/1","39521/1","23712/1","40359/1","25424/1","35240/1","32098/1","40358/1","3740/1","44791/1","39516/1","8510/1","24623/1","19242/1","25448/1","30186/1","44729/1","35273/1","13876/1","43152/1","8553/1","41924/1","38668/1","37860/1","40361/1","1888/1","44804/1","37859/1","20629/1","19184/1","30190/1","19257/1","39461/1","40350/1","32090/1","38633/1","40362/1","30183/1","19214/1","19235/1","44808/1","20604/1","44840/1","7904/1","39413/1","44834/1","44813/1","8548/1","44741/1","35216/1","39424/1","20622/1","24633/1","1898/1","33356/1","1843/1","13881/1","23754/1","extracted_numbers"
100,98.962,98.911,98.571,98.394,98.216,98.288,98.215,98.183,98.208,98.11,98.008,98.028,97.875,97.678,97.67,97.643,97.545,97.543,98.128,97.536,97.537,97.441,97.415,97.411,97.413,97.506,97.409,97.411,97.268,97.335,97.334,97.282,97.209,97.253,97.232,97.178,97.15,97.102,97.025,96.999,96.969,96.902,96.894,96.897,96.828,96.888,96.844,96.743,96.664,96.623,96.642,96.587,96.557,96.374,96.352,96.374,96.284,96.124,96.101,96.017,95.919,95.969,95.847,95.917,95.759,95.661,95.721,95.694,95.622,95.745,95.591,95.588,95.453,95.372,95.291,95.247,94.763,94.756,94.626,94.499,94.266,95.197,94.125,92.824,96.76,97.654,95.349,92.182,98.092,95.324,96.445,98.955,98.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
100,98.637,98.246,98.15,94.537,99.026,98.053,97.554,98.535,99.415,98.012,96.89,95.934,94.99,98.535,96.3,95.058,97.047,95.765,94.639,97.849,96.397,97.752,94.942,98.148,96.383,97.187,98.246,95.91,97.386,97.374,97.271,97.559,97.559,97.07,95.817,98.047,95.371,95.809,96.787,98.534,96.973,97.568,96.683,97.947,98.24,97.361,96.304,97.266,95.252,97.752,95.898,98.433,93.975,93.75,96.3,96.21,95.534,95.601,94.937,95.229,96.99,96.495,96.016,97.065,93.379,94.363,93.913,97.443,91.059,94.283,94.238,97.073,93.642,95.22,96.481,95.821,96.805,97.456,94.65,92.762,95.72,NA,96.97,91.787,87.879,NA,96.132,NA,NA,NA,96.979,NA,97.179,95.701,98.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100,97.585,98.482,97.411,90.691,98.041,98.128,98.482,97.319,98.928,98.133,96.267,97.051,95.889,98.661,97.425,98.569,99.015,97.629,98.4,96.975,93.568,97.945,93.921,98.396,98.146,96.8,96.209,97.699,98.304,97.242,95.402,97.321,97.227,99.018,98.037,97.865,97.054,91.88,95.068,98.217,98.122,97.848,94.681,97.418,96.97,98.574,96.27,98.481,93.146,98.211,95.31,97.609,96.518,NA,97.946,96.15,95.904,95.552,95.652,98.308,97.697,97.425,92.965,97.729,95.098,97.326,93.428,98.468,90.417,90.132,95.893,95.699,95.289,96.61,95.204,97.518,97.954,95.128,95.863,96.028,98.91,NA,98.036,90.317,93.134,NA,96.432,NA,NA,NA,97.285,NA,98.299,96.975,94.159,98.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
100,100,99.399,96.208,98.996,97.804,98.594,98.207,97.61,99.198,99.399,94.422,98.419,93.439,97.41,97.813,98.416,98.795,NA,99.8,98.163,98.196,97.222,97.996,99.4,NA,98.214,97.8,99.2,96.634,98.008,95.257,98.6,96.223,98.397,95.858,98.795,93.478,95.219,95.219,98.204,97.605,98.795,96.055,97.2,98.798,94.422,99.399,97.614,92.885,98.2,95.219,99.398,96.988,NA,94.422,96.614,97.804,95.446,98.2,99.004,98,96.208,93.535,90.02,96.945,95.01,95.6,97.206,96.215,95.391,95.19,95.02,98.795,97.222,93.083,98.4,96.45,96.794,97.6,96.421,97.809,NA,98,96.994,97.41,NA,97.228,NA,NA,NA,97.206,NA,97.791,96.62,96.806,99.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
100,99.477,97.405,96.88,89.915,96.181,97.227,98.087,97.751,98.08,98.438,95.361,98.258,95.826,98.261,99.129,98.955,98.606,NA,99.129,96.701,97.917,97.059,95.965,94.965,NA,98.778,96.69,97.033,97.373,95.431,94.369,97.396,96.187,96.22,97.574,97.735,90.484,95.288,93.993,98.604,96.522,98.432,94.792,98.955,97.739,95.841,98.429,97.396,87.671,96.161,95.848,98.258,93.599,NA,97.222,97.232,96.021,92.96,96.354,98.429,96.167,97.387,92.907,91.453,97.751,97.043,95.189,96.552,95.667,95.353,92.348,97.217,97.059,95.826,95.841,97.739,94.828,93.588,89.565,94.464,97.727,NA,97.405,93.092,96.534,95.826,95.494,NA,NA,NA,98.09,NA,96.701,96.552,99.129,94.957,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
100,96.498,97.02,93.744,98.244,97.107,97.837,98.45,99.172,96.914,98.272,97.02,98.455,94.045,96.718,98.657,95.902,98.144,NA,98.864,96.824,94.769,97.842,90.496,97.116,NA,96.811,97.029,98.759,97.294,96.285,93.871,99.071,97.02,98.45,93.776,98.658,95.885,96.821,91.34,98.866,97.936,97.84,96.506,97.331,97.001,97.73,97.533,97.125,89.949,97.727,95.679,99.381,97.42,NA,97.417,95.15,96.708,95.297,96.292,95.778,97.423,96.308,91.853,92.449,96.715,94.985,95.59,98.142,96.285,90.414,98.507,95.297,96.205,95.473,94.872,97.526,97.228,96.469,96.296,95.683,97.526,NA,95.599,96.804,94.081,96.907,95.984,NA,NA,NA,97.846,NA,98.454,96.698,96.711,97.122,97.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
100,98.21,97.608,92.39,95.232,98.566,96.416,98.263,98.321,96.564,NA,96.655,97.619,98.443,98.206,99.042,99.4,96.721,NA,97.847,98.21,97.86,97.622,94.643,99.281,NA,98.197,97.971,97.73,95.833,97.849,95.266,99.161,98.088,97.497,94.139,99.164,95.6,96.651,90.012,98.206,97.979,97.268,96.195,98.206,97.122,98.212,95.943,97.255,93.07,97.73,97.156,99.042,94.781,NA,96.535,94.174,96.535,93.743,93.873,95.962,96.901,92.615,93.832,97.346,98.447,95.374,97.129,97.384,96.014,94.062,NA,95.374,98.683,97.491,98.208,96.323,97.378,91.876,93.176,100,97.375,NA,93.46,86.348,96.539,97.925,95.735,NA,NA,NA,98.798,NA,98.204,96.323,98.445,98.683,99.044,97.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
100,99.405,95.294,91.716,97.041,97.647,95.833,97.619,96.45,99.405,NA,95.322,95.882,95.238,97.024,84.181,95.906,98.214,NA,98.214,92.857,98.214,99.405,97.605,97.024,NA,90.533,95.833,98.214,98.81,98.214,96.471,98.81,98.81,97.619,91.908,95.93,95.833,89.655,92.857,98.214,95.858,97.619,94.675,99.394,99.405,97.633,95.783,99.405,87.931,98.214,98.214,98.788,98.81,NA,96.429,99.405,94.675,91.124,NA,96.45,94.675,96.386,90.419,95.266,94.675,90.361,97.006,98.214,95.858,91.954,NA,96.491,94.186,90.667,93.567,96.226,92.899,84.571,93.491,NA,95.349,NA,92.398,NA,97.619,NA,96.25,NA,NA,NA,98.802,NA,98.214,98.81,98.225,97.024,97.041,96.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
100,99.099,98.951,95.646,97.126,96.547,96.131,98.212,97.758,95.338,NA,95.522,97.024,96.137,99.102,99.099,92.296,98.804,NA,97.478,96.269,97.317,96.861,93.778,98.204,NA,97.16,95.633,97.024,96.979,96.731,94.048,99.099,97.619,97.601,93.787,97.768,96.108,98.799,91.605,99.25,97.177,96.274,95.846,96.137,96.702,95.665,97.01,97.91,90.611,98.801,98.358,98.363,98.204,NA,96.142,97.748,97.305,91.111,89.225,96.137,96.148,93.805,94.092,95.509,95.294,98.505,97.147,96.736,96.154,90.923,NA,97.761,97.451,94.179,95.782,93.935,94.76,92.411,94.933,NA,95.516,NA,95.97,87.087,97.774,NA,96.413,NA,NA,NA,96.407,NA,97.758,94.88,97.313,98.198,98.051,98.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
100,98.485,98.485,88.172,93.532,95.833,97.98,98.485,98.485,91.5,NA,95.98,97.98,95.98,98.485,97.98,97.475,97.487,NA,97.487,95.025,98.99,96.985,95.96,98.485,NA,96.465,96.985,98.485,95.025,96.985,97.98,96.465,96.97,98.485,97.475,97.98,97.5,96.465,92.462,95.96,97.487,98.485,95.477,96.429,96.482,96.97,97.475,96.535,84.422,96.985,98.425,97.475,91.919,NA,96.5,98.485,NA,90.5,94.5,97.861,97.475,96.465,94.949,92.462,96.517,98.485,97.98,95.96,95.477,95.96,NA,98,92.929,97.98,NA,97.98,94.975,93.434,95.98,NA,94.527,NA,97.99,NA,98.485,NA,96.465,NA,NA,NA,97.98,NA,96.482,97.5,97.475,97.475,97.98,93,97.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
